iata_code,name,municipality,iso_region,iso_country,continent,latitude_deg,longitude_deg,elevation_ft
AAA,Anaa Airport,Anaa,PF-U-A,PF,OC,-17.3526,-145.509995,10
AAC,El Arish International Airport,El Arish,EG-SIN,EG,AS,31.078565,33.836791,118
AAE,Annaba Rabah Bitat Airport,Annaba,DZ-23,DZ,AF,36.826781,7.81334,16
AAK,Aranuka Airport,Buariki,KI-G,KI,OC,0.185278,173.636993,6
AAL,Aalborg Airport,Aalborg,DK-81,DK,EU,57.094763,9.84993,10
AAN,Al Ain International Airport,Al Ain,AE-AZ,AE,AS,24.26169968,55.60919952,869
AAP,Aji Pangeran Tumenggung Pranoto International Airport,Samarinda,ID-KI,ID,AS,-0.374478,117.250128,82
AAQ,Anapa Vityazevo Airport,Krasnyi Kurgan,RU-KDA,RU,EU,45.002102,37.347301,174
AAR,Aarhus Airport,Aarhus,DK-82,DK,EU,56.303331,10.618286,82
AAT,Altay Xuedu Airport,Altay,CN-65,CN,AS,47.749886,88.085808,2460
AAX,Romeu Zema Airport,Araxá,BR-MG,BR,SA,-19.5632,-46.9604,3276
AAY,Al Ghaydah International Airport,Al Ghaydah,YE-MR,YE,AS,16.193341,52.174186,134
AAZ,Quezaltenango Airport,Quezaltenango,GT-QZ,GT,NA,14.8656,-91.501999,7779
ABA,Abakan International Airport,Abakan,RU-KK,RU,AS,53.740002,91.385002,831
ABD,Abadan Airport,Abadan,IR-06,IR,AS,30.367887,48.230075,10
ABE,Lehigh Valley International Airport,Allentown,US-PA,US,NA,40.651773,-75.442797,393
ABI,Abilene Regional Airport,Abilene,US-TX,US,NA,32.41130066,-99.68190002,1791
ABJ,Félix-Houphouët-Boigny International Airport,Abidjan,CI-AB,CI,AF,5.26139,-3.92629,21
ABK,Kebri Dahar Airport,Kebri Dahar,ET-SO,ET,AF,6.732577,44.241339,1800
ABL,Ambler Airport,Ambler,US-AK,US,NA,67.105529,-157.855339,334
ABM,Northern Peninsula Airport,Bamaga,AU-QLD,AU,OC,-10.946194,142.455081,34
ABQ,Albuquerque International Sunport,Albuquerque,US-NM,US,NA,35.039976,-106.608925,5355
ABR,Aberdeen Regional Airport,Aberdeen,US-SD,US,NA,45.44910049,-98.42179871,1302
ABS,Abu Simbel Airport,Abu Simbel,EG-ASN,EG,AF,22.367657,31.609962,614
ABT,King Saud Bin Abdulaziz (Al Baha) Airport,Al-Baha,SA-11,SA,AS,20.298506,41.636153,5486
ABU,AA Bere Tallo (Haliwen) Airport,Atambua,ID-NT,ID,AS,-9.074841,124.903285,1027
ABV,Nnamdi Azikiwe International Airport,Abuja,NG-FC,NG,AF,9.00679,7.26317,1123
ABX,Albury Airport,East Albury,AU-NSW,AU,OC,-36.066758,146.959148,539
ABY,Southwest Georgia Regional Airport,Albany,US-GA,US,NA,31.532946,-84.196215,197
ABZ,Aberdeen International Airport,Aberdeen,GB-SCT,GB,EU,57.2019,-2.19778,215
ACA,General Juan N. Álvarez International Airport,Acapulco,MX-GRO,MX,NA,16.757126,-99.753113,16
ACC,Kotoka International Airport,Accra,GH-AA,GH,AF,5.6051898,-0.1667860001,205
ACE,César Manrique-Lanzarote Airport,San Bartolomé,ES-CN,ES,AF,28.945499,-13.6052,46
ACF,Aral Tarim Airport,Aral,CN-65,CN,AS,40.434748,81.26206,
ACH,Sankt Gallen Altenrhein Airport,St. Gallen,CH-SG,CH,EU,47.485001,9.56077,1306
ACI,Alderney Airport,Saint Anne,GG-A,GG,EU,49.706104,-2.21472,290
ACK,Nantucket Memorial Airport,Nantucket,US-MA,US,NA,41.25310135,-70.06020355,47
ACT,Waco Regional Airport,Waco,US-TX,US,NA,31.61129951,-97.23049927,516
ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,US-CA,US,NA,40.978101,-124.109,221
ACX,Xingyi Wanfenglin Airport,Xingyi,CN-52,CN,AS,25.083423,104.960804,4150
ACY,Atlantic City International Airport,Atlantic City,US-NJ,US,NA,39.45759964,-74.57720184,75
ADA,Adana Şakirpaşa Airport,Seyhan,TR-01,TR,AS,36.982201,35.280399,65
ADB,Adnan Menderes International Airport,Gaziemir,TR-35,TR,AS,38.2924,27.157,412
ADD,Addis Ababa Bole International Airport,Addis Ababa,ET-AA,ET,AF,8.97789,38.799301,7630
ADE,Aden International Airport,Aden,YE-AD,YE,AS,12.8295,45.028801,7
ADF,Adıyaman Airport,Adıyaman,TR-02,TR,AS,37.7314,38.468899,2216
ADJ,Amman Civil (Marka International) Airport,Amman,JO-AM,JO,AS,31.9727,35.9916,2555
ADK,Adak Airport,Adak,US-AK,US,NA,51.883564,-176.642783,18
ADL,Adelaide International Airport,Adelaide,AU-SA,AU,OC,-34.947512,138.533393,20
ADQ,Kodiak Airport,Kodiak,US-AK,US,NA,57.75,-152.4940033,78
ADU,Ardabil Airport,Ardabil,IR-24,IR,AS,38.32569885,48.42440033,4315
ADZ,Gustavo Rojas Pinilla International Airport,San Andrés,CO-SAP,CO,NA,12.5836,-81.7112,19
AEB,Baise (Bose) Bama Airport,Baise (Tianyang),CN-45,CN,AS,23.7206,106.959999,490
AEH,Abeche Airport,Abeche,TD-OD,TD,AF,13.847,20.844299,1788
AEP,Jorge Newbery Airpark,Buenos Aires,AR-C,AR,SA,-34.5592,-58.4156,18
AER,Sochi International Airport,Sochi,RU-KDA,RU,EU,43.449902,39.9566,89
AES,"Ålesund Airport, Vigra",Ålesund,NO-15,NO,EU,62.5625,6.1197,69
AET,Allakaket Airport,Allakaket,US-AK,US,NA,66.551804,-152.621994,441
AEU,Abu Musa Island Airport,Abu Musa,IR-22,IR,AS,25.8757,55.033001,23
AEX,Alexandria International Airport,Alexandria,US-LA,US,NA,31.3274,-92.549797,89
AEY,Akureyri Airport,Akureyri,IS-6,IS,EU,65.656573,-18.072018,6
AFA,Suboficial Ay Santiago Germano Airport,San Rafael,AR-M,AR,SA,-34.588299,-68.4039,2470
AFL,Piloto Osvaldo Marques Dias Airport,Alta Floresta,BR-MT,BR,SA,-9.866389,-56.106298,948
AFS,Sugraly Airport,Zarafshan,UZ-NW,UZ,AS,41.613899,64.2332,1396
AFZ,Sabzevar National Airport,Sabzevar,IR-09,IR,AS,36.16809845,57.59519958,3010
AGA,Al Massira Airport,Agadir (Temsia),MA-09,MA,AF,30.322478,-9.412003,250
AGE,Wangerooge Airport,Wangerooge,DE-NI,DE,EU,53.782544,7.919584,7
AGH,Ängelholm-Helsingborg Airport,Ängelholm,SE-M,SE,EU,56.29610062,12.84710026,68
AGI,Wageningen Airstrip,Wageningen,SR-NI,SR,SA,5.841252,-56.673247,6
AGJ,Aguni Airport,Aguni,JP-47,JP,AS,26.592755,127.240335,38
AGM,Tasiilaq Heliport,Tasiilaq,GL-SE,GL,NA,65.612296,-37.618335,24
AGN,Angoon Seaplane Base,Angoon,US-AK,US,NA,57.497097,-134.56722,
AGP,Málaga-Costa del Sol Airport,Málaga,ES-AN,ES,EU,36.6749,-4.49911,53
AGR,Agra Airport / Agra Air Force Station,Agra,IN-UP,IN,AS,27.157683,77.960942,551
AGS,Augusta Regional At Bush Field,Augusta,US-GA,US,NA,33.3699,-81.9645,144
AGT,Aeropuerto Internacional Guaraní,Ciudad del Este,PY-10,PY,SA,-25.457186,-54.839544,846
AGU,Jesús Terán Peredo International Airport,Aguascalientes,MX-AGU,MX,NA,21.699589,-102.318372,6112
AGX,Agatti Airport,Agatti,IN-LD,IN,AS,10.8237,72.176003,14
AHA,Maa Mahamaya Airport,Ambikapur,IN-CT,IN,AS,22.98753,83.19612,1930
AHB,Abha International Airport,Abha,SA-14,SA,AS,18.2404,42.656601,6858
AHE,Ahe Airport,Ahe Atoll,PF-U-A,PF,OC,-14.42809963,-146.2570038,11
AHO,Alghero-Fertilia Airport,Alghero,IT-88,IT,EU,40.632099,8.29077,87
AIA,Alliance Municipal Airport,Alliance,US-NE,US,NA,42.052543,-102.803965,3931
AIN,Wainwright Airport,Wainwright,US-AK,US,NA,70.638,-159.994995,41
AIP,Adampur Airport,Adampur,IN-PB,IN,AS,31.4338,75.758797,775
AIT,Aitutaki Airport,Aitutaki,CK-U-A,CK,OC,-18.8309,-159.764008,14
AIU,Enua Airport,Atiu Island,CK-U-A,CK,OC,-19.96780014,-158.1190033,36
AJA,Ajaccio-Napoléon Bonaparte Airport,Ajaccio/Napoléon Bonaparte,FR-COR,FR,EU,41.92359924,8.802920341,18
AJF,Al-Jawf Domestic Airport,Al-Jawf,SA-12,SA,AS,29.78510094,40.09999847,2261
AJI,Ağrı Airport,Ağrı,TR-04,TR,AS,39.655642,43.025742,5462
AJL,Lengpui Airport,Aizawl (Lengpui),IN-MZ,IN,AS,23.840599,92.619698,1398
AJN,Ouani Airport,Ouani,KM-A,KM,AF,-12.131047,44.430044,62
AJR,Arvidsjaur Airport,Arvidsjaur,SE-BD,SE,EU,65.59030151,19.28190041,1245
AJU,Aracaju - Santa Maria International Airport,Aracaju,BR-SE,BR,SA,-10.984,-37.070301,139
AJY,Mano Dayak International Airport,Agadez,NE-1,NE,AF,16.9659996,8.000109673,1657
AKA,Ankang Fuqiang Airport,Ankang (Hanbin),CN-61,CN,AS,32.75696,108.87338,1209
AKB,Atka Airport,Atka,US-AK,US,NA,52.220299,-174.205994,57
AKF,Kufra Airport,Kufra,LY-KF,LY,AF,24.17869949,23.31399918,1367
AKI,Akiak Airport,Akiak,US-AK,US,NA,60.902646,-161.23106,30
AKJ,Asahikawa Airport,Higashikagura,JP-01,JP,AS,43.670799,142.447006,721
AKK,Akhiok Airport,Akhiok,US-AK,US,NA,56.938702,-154.182999,44
AKL,Auckland International Airport,Auckland,NZ-AUK,NZ,OC,-37.01199,174.786331,23
AKN,King Salmon Airport,King Salmon,US-AK,US,NA,58.677845,-156.651965,73
AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,US-AK,US,NA,68.133598,-151.742996,2102
AKR,Akure Airport,Akure,NG-ON,NG,AF,7.246739864,5.301010132,1100
AKS,Gwaunaru'u Airport,Auki,SB-ML,SB,OC,-8.70257,160.682007,5
AKU,Aksu Hongqipo Airport,Aksu (Onsu),CN-65,CN,AS,41.262501,80.291702,3816
AKV,Akulivik Airport,Akulivik,CA-QC,CA,NA,60.8186,-78.148598,75
AKX,Aktobe Airport,Aktobe,KZ-AKT,KZ,AS,50.2458,57.206699,738
AKY,Sittwe Airport,Sittwe,MM-16,MM,AS,20.133165,92.870693,27
ALA,Almaty International Airport,Almaty,KZ-ALA,KZ,AS,43.354267,77.042828,2234
ALB,Albany International Airport,Albany,US-NY,US,NA,42.74829865,-73.80169678,285
ALC,Alicante-Elche Miguel Hernández Airport,Alicante,ES-VC,ES,EU,38.2822,-0.558156,142
ALF,Alta Airport,Alta,NO-56,NO,EU,69.976097,23.3717,9
ALG,Houari Boumediene Airport,Algiers,DZ-16,DZ,AF,36.693886,3.214531,82
ALH,Albany Airport,Albany,AU-WA,AU,OC,-34.94329834,117.8089981,233
ALO,Waterloo Regional Airport,Waterloo,US-IA,US,NA,42.55709839,-92.40029907,873
ALP,Aleppo International Airport,Aleppo,SY-HL,SY,AS,36.180698,37.2244,1276
ALS,San Luis Valley Regional Airport/Bergman Field,Alamosa,US-CO,US,NA,37.434898,-105.866997,7539
ALW,Walla Walla Regional Airport,Walla Walla,US-WA,US,NA,46.09489822,-118.288002,1194
ALZ,Alitak Seaplane Base,Lazy Bay,US-AK,US,NA,56.897294,-154.249692,
AMA,Rick Husband Amarillo International Airport,Amarillo,US-TX,US,NA,35.219398,-101.706001,3607
AMD,Sardar Vallabh Bhai Patel International Airport,Ahmedabad,IN-GJ,IN,AS,23.0772,72.634697,189
AMH,Arba Minch Airport,Arba Minch,ET-SN,ET,AF,6.03939,37.5905,3901
AMM,Queen Alia International Airport,Amman,JO-AM,JO,AS,31.72260094,35.99319839,2395
AMQ,Pattimura International Airport,Ambon,ID-MA,ID,AS,-3.71026,128.089005,33
AMS,Amsterdam Airport Schiphol,Amsterdam,NL-NH,NL,EU,52.308601,4.76389,-11
AMV,Amderma Airport,Amderma,RU-NEN,RU,AS,69.76329803,61.5564003,13
ANC,Ted Stevens Anchorage International Airport,Anchorage,US-AK,US,NA,61.179004,-149.992561,152
ANF,Andrés Sabella Gálvez International Airport,Antofagasta,CL-AN,CL,SA,-23.444501,-70.445099,455
ANI,Aniak Airport,Aniak,US-AK,US,NA,61.58160019,-159.5429993,88
ANR,Antwerp International Airport (Deurne),Antwerp,BE-VAN,BE,EU,51.190667,4.463153,39
ANS,Andahuaylas Airport,Andahuaylas,PE-APU,PE,SA,-13.70639992,-73.35040283,11300
ANU,V C Bird International Airport,Osbourn,AG-03,AG,NA,17.1367,-61.792702,62
ANV,Anvik Airport,Anvik,US-AK,US,NA,62.646702,-160.190994,291
ANX,"Andøya Airport, Andenes",Andenes,NO-18,NO,EU,69.292503,16.144199,43
AOE,Anadolu Airport,Eskişehir,TR-26,TR,AS,39.809898,30.5194,2588
AOG,Anshan Teng'ao Airport / Anshan Air Base,Anshan,CN-21,CN,AS,41.105301,122.853996,
AOI,Marche Airport,Falconara Marittima (AN),IT-57,IT,EU,43.616299,13.3623,49
AOJ,Aomori Airport,Aomori,JP-02,JP,AS,40.73469925,140.6909943,664
AOK,Karpathos Airport,Karpathos Island,GR-L,GR,EU,35.421398,27.146,66
AOO,Altoona Blair County Airport,Altoona,US-PA,US,NA,40.296398,-78.32,1503
AOQ,Aappilattoq Heliport,Aappilattoq,GL-AV,GL,NA,72.88703,-55.596287,42
AOR,Sultan Abdul Halim Airport,Alor Satar,MY-02,MY,AS,6.189670086,100.3980026,15
AOS,Amook Bay Seaplane Base,Amook Bay,US-AK,US,NA,57.4715004,-153.8150024,
APK,Apataki Airport,Apataki,PF-U-A,PF,OC,-15.5736,-146.414993,8
APL,Nampula Airport,Nampula,MZ-N,MZ,AF,-15.10560036,39.28179932,1444
APN,Alpena County Regional Airport,Alpena,US-MI,US,NA,45.0780983,-83.56030273,690
APO,Antonio Roldán Betancur Airport,Carepa,CO-ANT,CO,SA,7.81196,-76.7164,46
APW,Faleolo International Airport,Apia,WS-AA,WS,OC,-13.82999992,-172.0079956,58
AQA,Araraquara Airport,Araraquara,BR-SP,BR,SA,-21.812,-48.132999,2334
AQG,Anqing Tianzhushan Airport / Anqing North Air Base,Anqing,CN-34,CN,AS,30.582199,117.050003,
AQI,Al Qaisumah/Hafr Al Batin Airport,Qaisumah,SA-04,SA,AS,28.335199,46.125099,1174
AQJ,Aqaba King Hussein International Airport,Aqaba,JO-AQ,JO,AS,29.61160088,35.01810074,175
AQP,Rodríguez Ballón International Airport,Arequipa,PE-ARE,PE,SA,-16.34110069,-71.58309937,8405
ARC,Arctic Village Airport,Arctic Village,US-AK,US,NA,68.1147,-145.578995,2092
ARD,Alor Island - Mali Airport,Kabola,ID-NT,ID,AS,-8.13234,124.597,10
ARH,Talagi Airport,Archangelsk,RU-ARK,RU,EU,64.60030365,40.71670151,62
ARI,Chacalluta Airport,Arica,CL-AP,CL,SA,-18.348499,-70.338699,167
ARK,Arusha Airport,Arusha,TZ-01,TZ,AF,-3.367789984,36.63330078,4550
ARM,Armidale Airport,Armidale,AU-NSW,AU,OC,-30.52809906,151.6170044,3556
ARN,Stockholm-Arlanda Airport,Stockholm,SE-AB,SE,EU,59.64849,17.928829,137
ART,Watertown International Airport,Watertown,US-NY,US,NA,43.991901,-76.021698,325
ARU,Araçatuba Airport,Araçatuba,BR-SP,BR,SA,-21.141479,-50.424575,1361
ARW,Arad International Airport,Arad,RO-AR,RO,EU,46.176601,21.261999,352
ASA,Assab International Airport,Assab,ER-DK,ER,AF,13.0718,42.645,46
ASB,Ashgabat International Airport,Ashgabat,TM-S,TM,AS,37.986801,58.361,692
ASE,Aspen-Pitkin County Airport (Sardy Field),Aspen,US-CO,US,NA,39.223202,-106.869003,7820
ASF,Astrakhan Narimanovo Boris M. Kustodiev International Airport,Astrakhan,RU-AST,RU,AS,46.282843,48.010511,-65
ASI,RAF Ascension Island,Cat Hill,SH-AC,SH,AF,-7.9696,-14.3937,278
ASJ,Amami Airport,Amami,JP-46,JP,AS,28.43059921,129.7129974,27
ASM,Asmara International Airport,Asmara,ER-SK,ER,AF,15.29189968,38.91070175,7661
