date,airline,flightNumber,origin,destination,
10/17/2014,Alaska,AS 633,PHX,SEA,
10/17/2014,Alaska,QX 2627,SEA,PDX,
10/17/2014,Alaska,QX 2362,PDX,BLI,
10/26/2014,Alaska,QX 2491,BLI,SEA,
10/26/2014,Alaska,AS 636,SEA,PHX,
11/21/2014,Alaska,631,PHX,SEA,
12/13/2014,Southwest,2087,PHX,ATL,
12/27/2014,Delta,2046,ATL,PHX,
4/10/2015,Southwest,562,PHX,BNA,
4/14/2015,Southwest,1961,BNA,MSY,
4/14/2015,Southwest,2713,MSY,PHX,
8/25/2015,American Airlines,227,SAN,DFW,
8/25/2015,American Airlines,2672,DFW,VPS,
9/25/2015,Southwest,2930,ATL,PHL,
10/5/2015,WOW Air,WOW 126,BOS,KEF,
10/6/2015,WOW Air,WOW 810,KEF,LGW,
10/31/2015,Ryan Air,FR6698,EDI,LPA,
11/6/2015,Norwegian,5751,LPA,BCN,
11/12/2015,Transavia,HV 5132,BCN,AMS,
12/1/2015,SmartWings,QS 8761,CDG,PRG,
1/6/2016,easyJet,1311,GVA,RAK,
2/25/2016,FlyBe,BE 7355,MXP,MAN,
5/14/2016,Delta,2519,VPS,ATL,
5/14/2016,Delta,525,ATL,ORD,
5/20/2016,Delta,1977,ORD,ATL,
5/20/2016,Delta,2518,ATL,VPS,
5/30/2016,Viva Aerobus,3701,TIJ,MEX,
6/13/2016,Viva Aerobus,3706,MEX,TIJ,
7/4/2016,Volaris,510,TIJ,MTY,
7/4/2016,Volaris,187,MTY,MEX,
7/19/2016,Volaris,823,MEX,TIJ,
10/3/2016,Alaska,AS27,ORD,SEA,
10/3/2016,Alaska,AS2234,SEA,GEG,
10/3/2016,Alaska,AS2231,GEG,BOI,
10/4/2016,Alaska,AS2318,BOI,PDX,
10/4/2016,Alaska,AS2288,PDX,SEA,
10/5/2016,Alaska,AS20,SEA,ORD,
12/19/2016,Alaska,,PDX,LAS,
12/19/2016,Alaska,2323,BOI,PDX,
12/20/2016,Norwegian,,LAS,CPH,
12/21/2016,Norwegian,,CPH,PRG,
1/6/2017,Germanwings,,DUS,ARN,
1/6/2017,Norwegian,,ARN,LAS,
1/6/2017,Southwest ,,LAS,BOI,
1/26/2017,United,UA 5743,BOI,SFO,
1/26/2017,United,,SFO,SAN,
1/29/2017,United,,SAN,LAX,
1/29/2017,United ,,LAX,BOI,
2/23/2017,Southwest ,,BOI,LAS,
2/23/2017,Southwest ,,LAS,MKE,
2/26/2017,Southwest ,,MKE,DEN,
2/26/2017,Southwest ,,DEN,BOI,
5/4/2017,United,,BOI,SFO,
5/4/2017,United,,SFO,SAN,
5/7/2017,United,,SAN,LAX,
5/7/2017,United,,LAX,BOI,
5/12/2017,Delta,2561,BOI,MSP,
5/12/2017,Delta,1801,MSP,ORD,
5/15/2017,Delta,975,ORD,MSP,
5/15/2017,Delta,591,MSP,BOI,
6/16/2017,Delta,,BOI,MSP,
6/16/2017,Delta ,,MSP,MDW,
6/19/2017,Delta,,MDW,MSP,"Caused me to miss connection to BOI, spent night in MSP"
6/20/2017,Delta,,MSP,BOI,
6/29/2017,Southwest,1040,BOI,OAK,
6/29/2017,Southwest,3089,OAK,SAN,
7/4/2017,Alaska,3483,SAN,BOI,
8/12/2017,Frontier,,SEA,DEN,
8/12/2017,Frontier,,DEN,PHL,
8/19/2017,United,,EWR,IAH,
8/19/2017,United,,IAH,SEA,
10/6/2017,Delta,DL 4910,SEA,MKE,
10/8/2017,Delta,DL 2364,MKE,MSP,
10/8/2017,Delta,DL 1760,MSP,SEA,
12/4/2017,United,UA 294,SEA,SFO,
12/4/2017,United,UA 1900,SFO,SAN,
12/7/2017,Delta,DL 5824,SEA,SAN,
12/10/2017,Delta,DL 2546,SAN,SLC,
12/10/2017,Delta,DL 916,SLC,SEA,
12/17/2017,Alaska,,SEA,YVR,
12/17/2017,Korean,,YVR,ICN,
12/19/2017,Korean,,ICN,TPE,
12/21/2017,Jetstar Asia,3K724,TPE,SIN,
12/29/2017,Nok Air,DD 7521,HKT,DMK,
